part_index,part_name,group,volume,surface_area,edge_length,faces,edges,vertices,bbox_max,bbox_mid,bbox_min,moment_max,moment_mid,moment_min,normalized_step
50,part_0050,4,44.75270635762885,303.09705926261654,1495.6892428314486,206,424,218,9.9000002,5.707031681615117,5.6418709756753245,642.3511589433726,572.0312494882667,209.46070147390128,normalized_parts\part_0050.step
51,part_0051,4,44.75270635762888,303.09705926261665,1495.6892428314488,206,424,218,9.9000002,5.939805686783634,5.904245086564572,642.3511589433658,572.0312494882471,209.46070147388673,normalized_parts\part_0051.step
52,part_0052,4,44.752706357628874,303.0970592626164,1495.6892428314484,206,424,218,9.900000200000001,6.024196076059518,6.0192055820356,642.3511589433839,572.0312494882963,209.4607014739595,normalized_parts\part_0052.step
53,part_0053,5,44.75270635762897,303.09705926261637,1495.689242831448,206,424,218,9.900000200000001,5.983616342179333,5.957900799612634,642.3511589433851,572.0312494882332,209.46070147387218,normalized_parts\part_0053.step
54,part_0054,4,44.752706357629094,303.0970592626171,1495.6892428314488,206,424,218,9.9000002,5.798448545957095,5.7427282197655884,642.3511589433733,572.0312494882505,209.46070147385763,normalized_parts\part_0054.step
55,part_0055,4,44.75270635762884,303.09705926261734,1495.6892428314486,206,424,218,9.900000199999997,5.468752790881132,5.3845477835835425,642.3511589433676,572.0312494882749,209.4607014739231,normalized_parts\part_0055.step
56,part_0056,4,44.752706357629044,303.09705926261773,1495.6892428314488,206,424,218,9.900000199999997,5.0035223176972385,4.893129522386573,642.3511589433754,572.0312494882443,209.46070147387945,normalized_parts\part_0056.step
57,part_0057,4,44.75270635762885,303.09705926261654,1495.6892428314484,206,424,218,9.900000200000001,4.52705385560463,4.397311277193523,642.351158943372,572.031249488251,209.46070147390856,normalized_parts\part_0057.step
58,part_0058,4,44.75270635762899,303.09705926261705,1495.6892428314484,206,424,218,9.900000199999997,5.094606642150781,4.988618410601848,642.3511589433722,572.0312494882653,209.46070147390128,normalized_parts\part_0058.step
59,part_0059,4,44.75270635762884,303.0970592626165,1495.6892428314488,206,424,218,9.900000199999997,5.536830836744667,5.457487837451609,642.3511589433684,572.0312494882427,209.460701473894,normalized_parts\part_0059.step
60,part_0060,8,1846.0588739926636,1676.193207982799,2316.4007999510814,104,289,192,22.0,22.0,20.700000000000003,73064.8561820693,73064.85617322552,54270.2529230792,normalized_parts\part_0060.step
61,part_0061,9,1028.8381589422672,1618.831673144211,1986.6793146677805,97,462,313,19.0000001,19.0000001,6.000000200000002,56917.73292930136,31276.025051534514,31276.02501173042,normalized_parts\part_0061.step
62,part_0062,10,6085.745282471124,3986.304398135897,2372.3455952420445,58,138,80,39.5,39.5,7.500000000000002,1003551.237243734,527708.1312080431,527708.129707858,normalized_parts\part_0062.step
63,part_0063,11,1888.7520407345592,3324.660352898027,4283.053201283474,80,468,328,44.00000020000002,44.00000020000001,5.000000200000004,749156.8476146759,377842.76880373486,377842.64993108704,normalized_parts\part_0063.step
64,part_0064,12,3190.140775794835,3619.5994947109843,6013.5032580724455,321,957,638,46.00000000000001,46.00000000000001,7.000000000000005,1452889.1669658371,739470.9953458866,739470.9879556044,normalized_parts\part_0064.step
65,part_0065,13,1010.5795799282389,1083.8097297711,2218.3272611054067,128,378,252,16.0,15.945665369869097,7.0,32821.86563559551,20537.466103897284,20537.466101112164,normalized_parts\part_0065.step
66,part_0066,13,1010.5795799282391,1083.8097297711,2218.3272611054067,128,378,252,16.000000000000004,15.9456653698691,7.000000000000012,32821.865635595495,20537.466103897288,20537.466101112175,normalized_parts\part_0066.step
