part_a,part_b,similarity,distance,topology_distance,geometry_distance,shape_distance,size_distance,size_gate_failed,same_group
43,54,0.9999999999992693,7.308005535947222e-13,0.0,2.20384326132652e-14,3.625787346685401e-12,8.898406955041452e-16,False,False
54,57,0.9999999999992646,7.354570057699998e-13,0.0,1.4138453703757268e-14,3.658731019431753e-12,1.1745897180654674e-15,False,False
28,58,0.9999999999992631,7.368234153991306e-13,0.0,7.803662253605147e-15,3.673321385564907e-12,1.3881514849864673e-15,False,True
43,53,0.9999999999992629,7.370609727854484e-13,0.0,2.1155697387100676e-14,3.658633332816012e-12,3.025458364714089e-16,False,False
65,67,0.9999999999992608,7.391988442422806e-13,0.0,9.825025325375718e-17,3.695871408394835e-12,0.0,False,True
21,51,0.9999999999992598,7.402243443441307e-13,0.0,1.2856019516931622e-14,3.68474470228454e-12,4.0932671993190586e-16,False,True
23,59,0.9999999999992473,7.527400823351653e-13,0.0,1.9234468415152345e-15,3.761229365071769e-12,8.89840695504144e-17,False,True
25,31,0.9999999999992465,7.535077628902416e-13,0.0,9.33328916364058e-16,3.765904986940613e-12,6.228884868529002e-16,False,True
24,54,0.9999999999992394,7.60571299030341e-13,0.0,9.802170224335566e-15,3.790096573174848e-12,6.762789285831503e-16,False,False
24,34,0.9999999999992392,7.608345639886533e-13,0.0,3.186317705597463e-15,3.799495847068776e-12,9.254343233243083e-16,False,False
44,52,0.9999999999992386,7.61402713557153e-13,0.0,2.4206572570271812e-14,3.776381618980813e-12,4.983107894823209e-16,False,False
58,59,0.9999999999992354,7.646237754739716e-13,0.0,2.3464505720790666e-15,3.819531781243564e-12,8.720438815940599e-16,False,True
44,58,0.9999999999992281,7.719865745835269e-13,0.0,1.0443325963332535e-14,3.845944382733189e-12,1.2457769737058037e-15,False,False
42,59,0.9999999999992258,7.741404752760854e-13,0.0,1.3098706810083337e-14,3.853554831462734e-12,1.0322152067848048e-15,False,True
39,40,0.9999999999992253,7.747048483003667e-13,0.0,2.4512926768326958e-14,3.842322483403257e-12,7.474661842234817e-16,False,True
25,28,0.9999999999992236,7.76330695380372e-13,0.0,9.759469914353685e-15,3.868439721116043e-12,1.3525578571662959e-15,False,True
39,59,0.9999999999992162,7.838256499203601e-13,0.0,2.827119345658118e-15,3.915207269717183e-12,5.161076033924038e-16,False,True
40,58,0.9999999999992158,7.841859483200488e-13,0.0,2.292182528700545e-14,3.891796946015914e-12,6.406853007629844e-16,False,True
48,56,0.9999999999992102,7.897731272090009e-13,0.0,3.902188689567605e-15,3.94239953454157e-12,2.117820855299871e-15,False,True
38,54,0.999999999999202,7.980054659755599e-13,0.0,4.211933517280232e-15,3.983841427861352e-12,1.2279801597957212e-15,False,True
65,66,0.9999999999991983,8.017037011627069e-13,0.0,1.2761283191580198e-16,4.008332294552774e-12,3.5593627820165765e-17,False,True
47,51,0.9999999999991953,8.046995220737935e-13,0.0,1.387688974646225e-14,4.005444074832963e-12,9.432311372343905e-16,False,True
34,47,0.9999999999991929,8.071551132505297e-13,0.0,1.6131967445009452e-14,4.014462712449186e-12,1.5305259962671315e-15,False,False
37,48,0.9999999999991919,8.081269019791198e-13,0.0,7.561886474987247e-15,4.030835113930618e-12,4.627171616621546e-16,False,True
48,52,0.9999999999991916,8.084025384259502e-13,0.0,2.2768965835977965e-14,4.012804018650555e-12,9.966215789646437e-16,False,True
28,59,0.9999999999991896,8.103192290439007e-13,0.0,7.104341094074357e-15,4.0422619000972035e-12,6.050916729428182e-16,False,True
26,45,0.9999999999991895,8.104627487825261e-13,0.0,6.5230699736839486e-15,4.043399092650869e-12,1.0144183928747213e-15,False,True
34,43,0.9999999999991874,8.125763014379987e-13,0.0,1.4069820684232222e-14,4.044800369748698e-12,6.584821146730674e-16,False,False
21,52,0.9999999999991867,8.13346415447682e-13,0.0,6.363077004306588e-15,4.058457888332645e-12,4.271235338419887e-16,False,True
31,52,0.9999999999991855,8.144866250079742e-13,0.0,1.2622474949189696e-14,4.056281298261272e-12,4.983107894823201e-16,False,True
29,31,0.999999999999184,8.160137007860795e-13,0.0,1.0502673723382432e-15,4.078301850960267e-12,6.050916729428169e-16,False,True
47,53,0.999999999999183,8.170019821436242e-13,0.0,7.988051783573604e-15,4.074437551129621e-12,7.830598120436457e-16,False,False
21,53,0.9999999999991735,8.264691064329639e-13,0.0,1.8652083195886386e-14,4.1088969520656354e-12,1.779681391008287e-16,False,False
32,43,0.9999999999991726,8.274447599738964e-13,0.0,1.404385344039556e-14,4.119402030860336e-12,3.5593627820165736e-16,False,False
24,51,0.9999999999991692,8.307865798235862e-13,0.0,1.2908715053599722e-15,4.152039009917147e-12,3.7373309211174016e-16,False,True
